month_key,date_key,gateway,payment_method,decline_reason,failed_count
202407,20240701,GW-ATLAS,BNPL,3DS Authentication Failed,299
202407,20240701,GW-ATLAS,BNPL,Gateway Timeout,352
202407,20240701,GW-ATLAS,BNPL,Insufficient Funds,661
202407,20240701,GW-ATLAS,BNPL,Invalid Card / Account Data,334
202407,20240701,GW-ATLAS,BNPL,Issuer Decline,334
202407,20240701,GW-ATLAS,BNPL,Risk / Fraud Rule,4535
202407,20240701,GW-ATLAS,CARD,3DS Authentication Failed,13833
202407,20240701,GW-ATLAS,CARD,Gateway Timeout,4132
202407,20240701,GW-ATLAS,CARD,Insufficient Funds,15145
202407,20240701,GW-ATLAS,CARD,Invalid Card / Account Data,5435
202407,20240701,GW-ATLAS,CARD,Issuer Decline,23778
202407,20240701,GW-ATLAS,CARD,Risk / Fraud Rule,7050
202407,20240701,GW-ATLAS,TOKEN,3DS Authentication Failed,215
202407,20240701,GW-ATLAS,TOKEN,Gateway Timeout,352
202407,20240701,GW-ATLAS,TOKEN,Insufficient Funds,1144
202407,20240701,GW-ATLAS,TOKEN,Invalid Card / Account Data,440
202407,20240701,GW-ATLAS,TOKEN,Issuer Decline,1762
202407,20240701,GW-ATLAS,TOKEN,Risk / Fraud Rule,531
202407,20240701,GW-NILE,BANKTR,Gateway Timeout,215
202407,20240701,GW-NILE,BANKTR,Insufficient Funds,297
202407,20240701,GW-NILE,BANKTR,Invalid Card / Account Data,352
202407,20240701,GW-NILE,BANKTR,Issuer Decline,97
202407,20240701,GW-NILE,BANKTR,Risk / Fraud Rule,48
202407,20240701,GW-NILE,BNPL,3DS Authentication Failed,89
202407,20240701,GW-NILE,BNPL,Gateway Timeout,70
202407,20240701,GW-NILE,BNPL,Insufficient Funds,138
202407,20240701,GW-NILE,BNPL,Invalid Card / Account Data,88
202407,20240701,GW-NILE,BNPL,Issuer Decline,76
202407,20240701,GW-NILE,BNPL,Risk / Fraud Rule,1095
202407,20240701,GW-NILE,CARD,3DS Authentication Failed,2591
202407,20240701,GW-NILE,CARD,Gateway Timeout,784
202407,20240701,GW-NILE,CARD,Insufficient Funds,2827
202407,20240701,GW-NILE,CARD,Invalid Card / Account Data,1014
202407,20240701,GW-NILE,CARD,Issuer Decline,4312
202407,20240701,GW-NILE,CARD,Risk / Fraud Rule,1256
202407,20240701,GW-NILE,LDEBIT,3DS Authentication Failed,1150
202407,20240701,GW-NILE,LDEBIT,Gateway Timeout,855
202407,20240701,GW-NILE,LDEBIT,Insufficient Funds,4336
202407,20240701,GW-NILE,LDEBIT,Invalid Card / Account Data,1151
202407,20240701,GW-NILE,LDEBIT,Issuer Decline,3418
202407,20240701,GW-NILE,LDEBIT,Risk / Fraud Rule,598
202407,20240701,GW-NILE,TOKEN,3DS Authentication Failed,134
202407,20240701,GW-NILE,TOKEN,Gateway Timeout,226
202407,20240701,GW-NILE,TOKEN,Insufficient Funds,773
202407,20240701,GW-NILE,TOKEN,Invalid Card / Account Data,293
202407,20240701,GW-NILE,TOKEN,Issuer Decline,1194
202407,20240701,GW-NILE,TOKEN,Risk / Fraud Rule,337
202407,20240701,GW-NILE,WALLET,3DS Authentication Failed,5205
202407,20240701,GW-NILE,WALLET,Gateway Timeout,5035
202407,20240701,GW-NILE,WALLET,Insufficient Funds,11920
202407,20240701,GW-NILE,WALLET,Invalid Card / Account Data,3393
202407,20240701,GW-NILE,WALLET,Issuer Decline,6758
202407,20240701,GW-NILE,WALLET,Risk / Fraud Rule,1740
202407,20240701,GW-NIMBUS,BANKTR,Gateway Timeout,63
202407,20240701,GW-NIMBUS,BANKTR,Insufficient Funds,129
202407,20240701,GW-NIMBUS,BANKTR,Invalid Card / Account Data,140
202407,20240701,GW-NIMBUS,BANKTR,Issuer Decline,35
202407,20240701,GW-NIMBUS,BANKTR,Risk / Fraud Rule,13
202407,20240701,GW-NIMBUS,CARD,3DS Authentication Failed,5918
202407,20240701,GW-NIMBUS,CARD,Gateway Timeout,1753
202407,20240701,GW-NIMBUS,CARD,Insufficient Funds,6518
202407,20240701,GW-NIMBUS,CARD,Invalid Card / Account Data,2351
202407,20240701,GW-NIMBUS,CARD,Issuer Decline,10181
202407,20240701,GW-NIMBUS,CARD,Risk / Fraud Rule,2982
202407,20240701,GW-NIMBUS,LDEBIT,3DS Authentication Failed,766
202407,20240701,GW-NIMBUS,LDEBIT,Gateway Timeout,546
202407,20240701,GW-NIMBUS,LDEBIT,Insufficient Funds,3008
202407,20240701,GW-NIMBUS,LDEBIT,Invalid Card / Account Data,838
202407,20240701,GW-NIMBUS,LDEBIT,Issuer Decline,2427
202407,20240701,GW-NIMBUS,LDEBIT,Risk / Fraud Rule,410
202407,20240701,GW-NIMBUS,TOKEN,3DS Authentication Failed,96
202407,20240701,GW-NIMBUS,TOKEN,Gateway Timeout,159
202407,20240701,GW-NIMBUS,TOKEN,Insufficient Funds,498
202407,20240701,GW-NIMBUS,TOKEN,Invalid Card / Account Data,246
202407,20240701,GW-NIMBUS,TOKEN,Issuer Decline,884
202407,20240701,GW-NIMBUS,TOKEN,Risk / Fraud Rule,260
202407,20240701,GW-ORION,CARD,3DS Authentication Failed,6539
202407,20240701,GW-ORION,CARD,Gateway Timeout,1995
202407,20240701,GW-ORION,CARD,Insufficient Funds,7207
202407,20240701,GW-ORION,CARD,Invalid Card / Account Data,2675
202407,20240701,GW-ORION,CARD,Issuer Decline,11217
202407,20240701,GW-ORION,CARD,Risk / Fraud Rule,3319
202407,20240701,GW-ORION,TOKEN,3DS Authentication Failed,180
202407,20240701,GW-ORION,TOKEN,Gateway Timeout,238
202407,20240701,GW-ORION,TOKEN,Insufficient Funds,736
202407,20240701,GW-ORION,TOKEN,Invalid Card / Account Data,332
202407,20240701,GW-ORION,TOKEN,Issuer Decline,1161
202407,20240701,GW-ORION,TOKEN,Risk / Fraud Rule,376
202408,20240801,GW-ATLAS,BNPL,3DS Authentication Failed,327
202408,20240801,GW-ATLAS,BNPL,Gateway Timeout,324
202408,20240801,GW-ATLAS,BNPL,Insufficient Funds,643
202408,20240801,GW-ATLAS,BNPL,Invalid Card / Account Data,338
202408,20240801,GW-ATLAS,BNPL,Issuer Decline,307
202408,20240801,GW-ATLAS,BNPL,Risk / Fraud Rule,4575
202408,20240801,GW-ATLAS,CARD,3DS Authentication Failed,14058
202408,20240801,GW-ATLAS,CARD,Gateway Timeout,4346
202408,20240801,GW-ATLAS,CARD,Insufficient Funds,15696
202408,20240801,GW-ATLAS,CARD,Invalid Card / Account Data,5603
202408,20240801,GW-ATLAS,CARD,Issuer Decline,24215
202408,20240801,GW-ATLAS,CARD,Risk / Fraud Rule,7290
