date,date_key,month_key,year_month,year,month_num,month_name,fiscal_year,fiscal_year_label,fiscal_month_num,fiscal_quarter,weekday_name,is_weekend
2024-07-01,20240701,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Monday,0
2024-07-02,20240702,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Tuesday,0
2024-07-03,20240703,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Wednesday,0
2024-07-04,20240704,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Thursday,0
2024-07-05,20240705,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Friday,1
2024-07-06,20240706,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Saturday,1
2024-07-07,20240707,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Sunday,0
2024-07-08,20240708,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Monday,0
2024-07-09,20240709,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Tuesday,0
2024-07-10,20240710,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Wednesday,0
2024-07-11,20240711,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Thursday,0
2024-07-12,20240712,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Friday,1
2024-07-13,20240713,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Saturday,1
2024-07-14,20240714,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Sunday,0
2024-07-15,20240715,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Monday,0
2024-07-16,20240716,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Tuesday,0
2024-07-17,20240717,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Wednesday,0
2024-07-18,20240718,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Thursday,0
2024-07-19,20240719,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Friday,1
2024-07-20,20240720,202407,2024-07,2024,7,Jul,2025,FY2025,1,Q1,Saturday,1
