merchant_key,merchant_id,mid,merchant_name,country_code,segment,vertical,service,integration_type,settlement_type,account_manager,signup_date,live_date,first_txn_date,live_date_corrected,last_txn_date,days_signup_to_live,days_live_to_first_txn,is_activated,lifecycle_status,signup_cohort,live_cohort,live_fy,is_new_in_period,signup_date_key,live_date_key,first_txn_date_key,last_txn_date_key
1,M00001,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,T+2,Reem Al-Ghamdi,2020-09-01,2020-09-16,2024-07-01,0,2026-06-30,15.0,1384.0,0,Active,2020-09,2020-09,2021.0,0,20200901,20200916,20240701,20260630
2,M00002,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,T+2,Layla Haddad,2020-09-04,2020-10-30,2024-07-01,0,2026-06-30,56.0,1340.0,0,Active,2020-09,2020-10,2021.0,0,20200904,20201030,20240701,20260630
3,M00003,SA168621990,Crescent Medical,SA,SME,Unclassified,Online Checkout,Direct API,T+1,Reem Al-Ghamdi,2020-09-07,2020-12-28,2024-07-01,0,2026-06-30,112.0,1281.0,0,Active,2020-09,2020-12,2021.0,0,20200907,20201228,20240701,20260630
4,M00004,SA865281392,Swift Consulting,SA,SME,Professional Services,Payment Links,Payment Links,T+1,Reem Al-Ghamdi,2020-09-08,2020-09-14,2024-07-01,0,2026-06-30,6.0,1386.0,0,Active,2020-09,2020-09,2021.0,0,20200908,20200914,20240701,20260630
5,M00005,EG855745273,Coral Mart,EG,SME,Retail,Online Checkout,E-commerce Plugin,T+2,Hany Soliman,2020-09-10,2020-09-15,2024-07-01,0,2024-10-31,5.0,1385.0,0,Churned,2020-09,2020-09,2021.0,0,20200910,20200915,20240701,20241031
6,M00006,AE901159238,Prime Care,AE,SME,Healthcare,POS Acceptance,POS Terminal,Instant,Layla Haddad,2020-09-15,2020-10-20,2024-07-01,0,2026-06-30,35.0,1350.0,0,Active,2020-09,2020-10,2021.0,0,20200915,20201020,20240701,20260630
7,M00007,AE923160667,Silver Advisory,AE,SME,Professional Services,POS Acceptance,POS Terminal,Instant,Yousef Al-Marri,2020-09-19,2020-10-01,2024-07-01,0,2026-06-30,12.0,1369.0,0,Active,2020-09,2020-10,2021.0,0,20200919,20201001,20240701,20260630
8,M00008,SA311285465,Palm Games,SA,Online,Digital Services,Online Checkout,Direct API,T+2,Omar Al-Anazi,2020-09-20,2020-12-20,,0,,91.0,,0,Live - never transacted,2020-09,2020-12,2021.0,0,20200920,20201220,,
9,M00009,SA829535554,Royal Supply,SA,B2B,Distribution & Wholesale,B2B Collections,Direct API,Weekly,Turki Al-Shammari,2020-09-28,2020-12-15,2024-07-01,0,2026-06-28,78.0,1294.0,0,Active,2020-09,2020-12,2021.0,0,20200928,20201215,20240701,20260628
10,M00010,SA420885285,Prime Mart,SA,SME,Retail,Online Checkout,Direct API,T+2,Reem Al-Ghamdi,2020-10-03,2021-01-15,2024-07-01,0,2026-06-29,104.0,1263.0,0,Active,2020-10,2021-01,2021.0,0,20201003,20210115,20240701,20260629
11,M00011,SA765577175,Crescent Kitchen,SA,Enterprise,Food & Beverage,Payment Links,Payment Links,T+2,Turki Al-Shammari,2020-10-04,2020-10-11,2024-07-01,0,2026-06-30,7.0,1359.0,0,Active,2020-10,2020-10,2021.0,0,20201004,20201011,20240701,20260630
12,M00012,OM267217098,Palm Utilities,OM,Enterprise,Telecom & Utilities,Payment Links,Payment Links,Weekly,Salim Al-Harthy,2020-10-05,2020-10-11,2024-07-01,0,2026-06-30,6.0,1359.0,0,Active,2020-10,2020-10,2021.0,0,20201005,20201011,20240701,20260630
13,M00013,SA719959686,Metro Roastery,SA,SME,Food & Beverage,Payment Links,Payment Links,T+2,Omar Al-Anazi,2020-10-07,2020-10-10,,0,,3.0,,0,Live - never transacted,2020-10,2020-10,2021.0,0,20201007,20201010,,
14,M00014,AE288662037,Coral Cargo,AE,B2B,Logistics,B2B Collections,Payment Links,T+1,Yousef Al-Marri,2020-10-13,2020-10-17,,0,,4.0,,0,Live - never transacted,2020-10,2020-10,2021.0,0,20201013,20201017,,
15,M00015,AE987618927,Oasis Streaming,AE,Online,Digital Services,Online Checkout,Hosted Checkout,T+2,Yousef Al-Marri,2020-10-17,2020-10-31,2024-07-01,0,2026-06-30,14.0,1339.0,0,Active,2020-10,2020-10,2021.0,0,20201017,20201031,20240701,20260630
16,M00016,SA159383546,Cedar Grill,SA,SME,Food & Beverage,POS Acceptance,POS Terminal,T+2,Reem Al-Ghamdi,2020-10-17,2020-11-19,2024-07-01,0,2026-06-30,33.0,1320.0,0,Active,2020-10,2020-11,2021.0,0,20201017,20201119,20240701,20260630
17,M00017,AE338852002,Palm Stores,AE,SME,Retail,Online Checkout,Hosted Checkout,Instant,Layla Haddad,2020-10-19,2020-10-31,2024-07-01,0,2026-06-30,12.0,1339.0,0,Active,2020-10,2020-10,2021.0,0,20201019,20201031,20240701,20260630
18,M00018,SA781674979,Coral Kitchen,SA,SME,Food & Beverage,Online Checkout,Hosted Checkout,Instant,Omar Al-Anazi,2020-10-20,2020-11-05,2024-07-01,0,2026-06-28,16.0,1334.0,0,Active,2020-10,2020-11,2021.0,0,20201020,20201105,20240701,20260628
19,M00019,EG772389130,Silver Trading,EG,B2B,Distribution & Wholesale,Payment Links,Payment Links,Weekly,Hany Soliman,2020-10-25,2020-11-01,2024-07-01,0,2026-06-28,7.0,1338.0,0,Active,2020-10,2020-11,2021.0,0,20201025,20201101,20240701,20260628
20,M00020,AE970872555,Amber Market,AE,SME,Retail,Online Checkout,Hosted Checkout,T+2,Yousef Al-Marri,2020-10-27,2020-11-21,2024-07-01,0,2026-06-30,25.0,1318.0,0,Active,2020-10,2020-11,2021.0,0,20201027,20201121,20240701,20260630
21,M00021,EG327327982,Silver Grill,EG,SME,Food & Beverage,Payment Links,Payment Links,T+1,Nadia Fouad,2020-10-28,2020-11-07,2024-07-01,0,2026-06-30,10.0,1332.0,0,Active,2020-10,2020-11,2021.0,0,20201028,20201107,20240701,20260630
22,M00022,EG943656964,Coral Digital,EG,Online,Digital Services,Online Checkout,Direct API,T+2,Nadia Fouad,2020-10-30,2020-12-24,2024-07-01,0,2026-06-30,55.0,1285.0,0,Active,2020-10,2020-12,2021.0,0,20201030,20201224,20240701,20260630
23,M00023,SA466668047,Golden Cafe,SA,Online,Food & Beverage,Online Checkout,E-commerce Plugin,T+2,Omar Al-Anazi,2020-11-01,2020-11-16,2024-07-01,0,2026-06-30,15.0,1323.0,0,Active,2020-11,2020-11,2021.0,0,20201101,20201116,20240701,20260630
24,M00024,EG416828825,Silver Journeys,EG,Online,Travel & Hospitality,Online Checkout,Direct API,T+2,Nadia Fouad,2020-11-06,2021-02-17,2024-07-01,0,2026-06-30,103.0,1230.0,0,Active,2020-11,2021-02,2021.0,0,20201106,20210217,20240701,20260630
25,M00025,SA786403853,Crescent Market,SA,Enterprise,Retail,Payment Links,Payment Links,T+2,Turki Al-Shammari,2020-11-08,,,0,,,,0,Onboarding (not live),2020-11,,,0,20201108,,,
