merchant_id,payment_method,mdr_pct,fixed_fee_usd,effective_from,merchant_key
M00001,CARD,0.02469,0.105,2020-09-01,1
M00001,TOKEN,0.02524,0.105,2020-09-01,1
M00001,LDEBIT,0.01207,0.053,2020-09-01,1
M00002,CARD,0.0213,0.1,2020-09-04,2
M00002,TOKEN,0.02177,0.1,2020-09-04,2
M00002,BNPL,0.0426,0.0,2020-09-04,2
M00003,CARD,0.02445,0.105,2020-09-07,3
M00003,TOKEN,0.025,0.105,2020-09-07,3
M00003,LDEBIT,0.01196,0.053,2020-09-07,3
M00004,CARD,0.02485,0.105,2020-09-08,4
M00004,LDEBIT,0.01215,0.053,2020-09-08,4
M00005,CARD,0.02291,0.105,2020-09-10,5
M00005,TOKEN,0.02342,0.105,2020-09-10,5
M00005,LDEBIT,0.0112,0.053,2020-09-10,5
M00005,WALLET,0.01833,0.053,2020-09-10,5
M00006,CARD,0.02405,0.105,2020-09-15,6
M00006,LDEBIT,0.01176,0.053,2020-09-15,6
M00006,TOKEN,0.02458,0.105,2020-09-15,6
M00007,CARD,0.02275,0.105,2020-09-19,7
M00007,LDEBIT,0.01112,0.053,2020-09-19,7
M00007,TOKEN,0.02326,0.105,2020-09-19,7
M00008,CARD,0.02376,0.1,2020-09-20,8
M00008,TOKEN,0.02429,0.1,2020-09-20,8
M00008,LDEBIT,0.01161,0.05,2020-09-20,8
M00009,BANKTR,0.0022,0.42,2020-09-28,9
M00009,CARD,0.01649,0.07,2020-09-28,9
M00010,CARD,0.02401,0.105,2020-10-03,10
M00010,TOKEN,0.02454,0.105,2020-10-03,10
M00010,LDEBIT,0.01174,0.053,2020-10-03,10
M00011,CARD,0.01347,0.072,2020-10-04,11
M00011,LDEBIT,0.00659,0.036,2020-10-04,11
M00012,CARD,0.01336,0.072,2020-10-05,12
M00012,LDEBIT,0.00653,0.036,2020-10-05,12
M00013,CARD,0.02233,0.105,2020-10-07,13
M00013,LDEBIT,0.01091,0.053,2020-10-07,13
M00014,BANKTR,0.00211,0.42,2020-10-13,14
M00014,CARD,0.01579,0.07,2020-10-13,14
M00015,CARD,0.02196,0.1,2020-10-17,15
M00015,TOKEN,0.02245,0.1,2020-10-17,15
M00015,BNPL,0.04392,0.0,2020-10-17,15
M00016,CARD,0.02404,0.105,2020-10-17,16
M00016,LDEBIT,0.01175,0.053,2020-10-17,16
M00016,TOKEN,0.02458,0.105,2020-10-17,16
M00017,CARD,0.02327,0.105,2020-10-19,17
M00017,TOKEN,0.02378,0.105,2020-10-19,17
M00017,BNPL,0.04653,0.0,2020-10-19,17
M00018,CARD,0.02462,0.105,2020-10-20,18
M00018,TOKEN,0.02517,0.105,2020-10-20,18
M00018,LDEBIT,0.01204,0.053,2020-10-20,18
M00019,CARD,0.015,0.07,2020-10-25,19
M00019,LDEBIT,0.00733,0.035,2020-10-25,19
M00019,WALLET,0.012,0.035,2020-10-25,19
M00020,CARD,0.02344,0.105,2020-10-27,20
M00020,TOKEN,0.02396,0.105,2020-10-27,20
M00020,BNPL,0.04689,0.0,2020-10-27,20
M00021,CARD,0.02431,0.105,2020-10-28,21
M00021,LDEBIT,0.01188,0.053,2020-10-28,21
M00021,WALLET,0.01945,0.053,2020-10-28,21
M00022,CARD,0.02321,0.1,2020-10-30,22
M00022,TOKEN,0.02373,0.1,2020-10-30,22
M00022,LDEBIT,0.01135,0.05,2020-10-30,22
M00022,WALLET,0.01857,0.05,2020-10-30,22
M00022,BNPL,0.04642,0.0,2020-10-30,22
M00023,CARD,0.02308,0.1,2020-11-01,23
M00023,TOKEN,0.02359,0.1,2020-11-01,23
M00023,LDEBIT,0.01128,0.05,2020-11-01,23
M00023,BNPL,0.04616,0.0,2020-11-01,23
M00024,CARD,0.02226,0.1,2020-11-06,24
M00024,TOKEN,0.02275,0.1,2020-11-06,24
M00024,LDEBIT,0.01088,0.05,2020-11-06,24
M00024,WALLET,0.0178,0.05,2020-11-06,24
M00024,BNPL,0.04451,0.0,2020-11-06,24
M00025,CARD,0.01734,0.072,2020-11-08,25
M00025,LDEBIT,0.00848,0.036,2020-11-08,25
M00026,CARD,0.01433,0.072,2020-11-10,26
M00026,TOKEN,0.01465,0.072,2020-11-10,26
M00026,BNPL,0.02866,0.0,2020-11-10,26
M00027,CARD,0.02214,0.1,2020-11-12,27
M00027,TOKEN,0.02264,0.1,2020-11-12,27
M00027,LDEBIT,0.01083,0.05,2020-11-12,27
M00027,WALLET,0.01772,0.05,2020-11-12,27
M00028,CARD,0.02384,0.1,2020-11-20,28
M00028,TOKEN,0.02437,0.1,2020-11-20,28
M00029,CARD,0.02464,0.105,2020-11-22,29
M00029,TOKEN,0.02518,0.105,2020-11-22,29
M00029,LDEBIT,0.01204,0.053,2020-11-22,29
M00029,WALLET,0.01971,0.053,2020-11-22,29
M00029,BNPL,0.04927,0.0,2020-11-22,29
M00030,CARD,0.02356,0.105,2020-11-22,30
M00030,LDEBIT,0.01152,0.053,2020-11-22,30
M00030,TOKEN,0.02409,0.105,2020-11-22,30
M00031,CARD,0.02196,0.1,2020-11-23,31
M00031,TOKEN,0.02245,0.1,2020-11-23,31
M00032,CARD,0.02317,0.1,2020-11-25,32
M00032,TOKEN,0.02368,0.1,2020-11-25,32
M00032,LDEBIT,0.01133,0.05,2020-11-25,32
M00032,WALLET,0.01854,0.05,2020-11-25,32
M00032,BNPL,0.04634,0.0,2020-11-25,32
M00033,CARD,0.02377,0.1,2020-11-27,33
M00033,TOKEN,0.0243,0.1,2020-11-27,33
M00033,LDEBIT,0.01162,0.05,2020-11-27,33
M00033,WALLET,0.01902,0.05,2020-11-27,33
M00034,CARD,0.0238,0.105,2020-11-27,34
M00034,LDEBIT,0.01163,0.053,2020-11-27,34
M00035,CARD,0.02398,0.105,2020-12-01,35
M00035,LDEBIT,0.01172,0.053,2020-12-01,35
M00035,TOKEN,0.02451,0.105,2020-12-01,35
M00036,BANKTR,0.00201,0.42,2020-12-03,36
M00036,CARD,0.0151,0.07,2020-12-03,36
M00037,CARD,0.02392,0.105,2020-12-06,37
M00037,LDEBIT,0.0117,0.053,2020-12-06,37
M00037,TOKEN,0.02445,0.105,2020-12-06,37
M00038,CARD,0.02367,0.1,2020-12-07,38
M00038,TOKEN,0.02419,0.1,2020-12-07,38
M00038,BNPL,0.04733,0.0,2020-12-07,38
M00039,BANKTR,0.00211,0.42,2020-12-08,39
M00039,CARD,0.01581,0.07,2020-12-08,39
M00040,CARD,0.02464,0.1,2020-12-08,40
M00040,TOKEN,0.02519,0.1,2020-12-08,40
M00040,LDEBIT,0.01205,0.05,2020-12-08,40
M00040,WALLET,0.01971,0.05,2020-12-08,40
M00040,BNPL,0.04928,0.0,2020-12-08,40
M00041,CARD,0.02403,0.105,2020-12-09,41
M00041,LDEBIT,0.01175,0.053,2020-12-09,41
M00042,CARD,0.02357,0.105,2020-12-10,42
M00042,LDEBIT,0.01153,0.053,2020-12-10,42
M00042,TOKEN,0.0241,0.105,2020-12-10,42
M00043,CARD,0.02356,0.1,2020-12-15,43
M00043,TOKEN,0.02408,0.1,2020-12-15,43
M00044,CARD,0.02357,0.105,2020-12-15,44
M00044,LDEBIT,0.01152,0.053,2020-12-15,44
M00044,TOKEN,0.0241,0.105,2020-12-15,44
M00044,WALLET,0.01886,0.053,2020-12-15,44
M00045,CARD,0.01957,0.072,2020-12-15,45
M00045,TOKEN,0.02,0.072,2020-12-15,45
M00046,CARD,0.02343,0.1,2020-12-16,46
M00046,TOKEN,0.02395,0.1,2020-12-16,46
M00046,LDEBIT,0.01146,0.05,2020-12-16,46
M00046,WALLET,0.01875,0.05,2020-12-16,46
M00047,CARD,0.02394,0.105,2020-12-20,47
M00047,LDEBIT,0.0117,0.053,2020-12-20,47
M00047,TOKEN,0.02447,0.105,2020-12-20,47
M00048,CARD,0.02295,0.105,2020-12-28,48
M00048,LDEBIT,0.01122,0.053,2020-12-28,48
M00048,TOKEN,0.02346,0.105,2020-12-28,48
M00049,CARD,0.01626,0.07,2020-12-30,49
M00049,LDEBIT,0.00795,0.035,2020-12-30,49
M00050,CARD,0.02426,0.105,2020-12-30,50
M00050,LDEBIT,0.01186,0.053,2020-12-30,50
M00050,TOKEN,0.0248,0.105,2020-12-30,50
M00050,WALLET,0.01941,0.053,2020-12-30,50
M00051,CARD,0.02171,0.1,2020-12-30,51
M00051,TOKEN,0.02219,0.1,2020-12-30,51
M00051,LDEBIT,0.01061,0.05,2020-12-30,51
M00052,CARD,0.02229,0.105,2020-12-31,52
M00052,LDEBIT,0.0109,0.053,2020-12-31,52
M00052,WALLET,0.01783,0.053,2020-12-31,52
M00053,CARD,0.02375,0.105,2021-01-13,53
M00053,LDEBIT,0.01161,0.053,2021-01-13,53
M00053,TOKEN,0.02428,0.105,2021-01-13,53
M00054,CARD,0.01454,0.07,2021-01-14,54
M00054,LDEBIT,0.00711,0.035,2021-01-14,54
M00055,CARD,0.0233,0.105,2021-01-14,55
M00055,LDEBIT,0.01139,0.053,2021-01-14,55
M00056,CARD,0.0237,0.105,2021-01-22,56
M00056,LDEBIT,0.01159,0.053,2021-01-22,56
M00056,WALLET,0.01896,0.053,2021-01-22,56
M00057,BANKTR,0.00208,0.42,2021-01-22,57
M00057,CARD,0.01563,0.07,2021-01-22,57
M00058,CARD,0.02477,0.105,2021-01-23,58
M00058,LDEBIT,0.01211,0.053,2021-01-23,58
M00059,CARD,0.0223,0.1,2021-01-24,59
M00059,TOKEN,0.02279,0.1,2021-01-24,59
M00060,CARD,0.02439,0.105,2021-01-31,60
M00060,LDEBIT,0.01192,0.053,2021-01-31,60
M00060,WALLET,0.01951,0.053,2021-01-31,60
M00061,CARD,0.01633,0.072,2021-02-01,61
M00061,TOKEN,0.0167,0.072,2021-02-01,61
M00061,LDEBIT,0.00799,0.036,2021-02-01,61
M00061,WALLET,0.01307,0.036,2021-02-01,61
M00062,CARD,0.01322,0.072,2021-02-08,62
M00062,LDEBIT,0.00646,0.036,2021-02-08,62
M00062,TOKEN,0.01351,0.072,2021-02-08,62
M00063,CARD,0.02427,0.105,2021-02-10,63
M00063,TOKEN,0.02481,0.105,2021-02-10,63
M00063,LDEBIT,0.01186,0.053,2021-02-10,63
M00063,BNPL,0.04854,0.0,2021-02-10,63
M00064,CARD,0.02279,0.1,2021-02-10,64
M00064,TOKEN,0.0233,0.1,2021-02-10,64
M00064,LDEBIT,0.01114,0.05,2021-02-10,64
M00064,WALLET,0.01823,0.05,2021-02-10,64
M00064,BNPL,0.04559,0.0,2021-02-10,64
M00065,CARD,0.02239,0.105,2021-02-11,65
M00065,TOKEN,0.02289,0.105,2021-02-11,65
M00065,LDEBIT,0.01095,0.053,2021-02-11,65
M00065,WALLET,0.01791,0.053,2021-02-11,65
M00065,BNPL,0.04478,0.0,2021-02-11,65
M00066,CARD,0.02297,0.105,2021-02-13,66
M00066,TOKEN,0.02348,0.105,2021-02-13,66
M00066,LDEBIT,0.01123,0.053,2021-02-13,66
M00066,WALLET,0.01838,0.053,2021-02-13,66
