date_key,gateway,payment_method,country_code,success_count,failed_count,gmv_usd
20240701,GW-ATLAS,BNPL,AE,143,42,8251.4719
20240701,GW-ATLAS,BNPL,EG,138,48,1721.4241000000002
20240701,GW-ATLAS,BNPL,SA,458,120,14460.298600000002
20240701,GW-ATLAS,CARD,AE,769,92,46032.3704
20240701,GW-ATLAS,CARD,EG,16380,2020,228447.5369
20240701,GW-ATLAS,CARD,OM,667,102,46905.9299
20240701,GW-ATLAS,CARD,SA,1306,162,47510.776
20240701,GW-ATLAS,TOKEN,AE,69,6,1826.3336
20240701,GW-ATLAS,TOKEN,EG,1093,72,17570.2131
20240701,GW-ATLAS,TOKEN,OM,154,11,3795.2925
20240701,GW-ATLAS,TOKEN,SA,1020,53,39428.344
20240701,GW-NILE,BANKTR,EG,1441,48,78822.0061
20240701,GW-NILE,BNPL,EG,190,66,2346.5319
20240701,GW-NILE,CARD,EG,3536,446,98957.7597
20240701,GW-NILE,LDEBIT,EG,6981,448,103382.9785
20240701,GW-NILE,TOKEN,EG,1930,114,22452.1551
20240701,GW-NILE,WALLET,EG,8578,1212,147164.9408
20240701,GW-NIMBUS,BANKTR,AE,20,0,55876.855
20240701,GW-NIMBUS,BANKTR,OM,10,0,18407.9584
20240701,GW-NIMBUS,BANKTR,SA,1579,30,152685.0534
20240701,GW-NIMBUS,CARD,AE,6285,538,336365.6015
20240701,GW-NIMBUS,CARD,OM,734,96,28621.3004
20240701,GW-NIMBUS,CARD,SA,3464,296,188162.1202
20240701,GW-NIMBUS,LDEBIT,AE,800,37,20762.8481
20240701,GW-NIMBUS,LDEBIT,OM,507,37,17968.6604
20240701,GW-NIMBUS,LDEBIT,SA,3907,241,181765.69079999998
20240701,GW-NIMBUS,TOKEN,AE,1136,34,53928.62899999999
20240701,GW-NIMBUS,TOKEN,OM,108,5,4132.2498
20240701,GW-NIMBUS,TOKEN,SA,346,22,10960.229599999999
20240701,GW-ORION,CARD,AE,7692,608,168785.6528
20240701,GW-ORION,CARD,SA,5303,563,217775.4135
20240701,GW-ORION,TOKEN,AE,2274,69,74558.00409999999
20240701,GW-ORION,TOKEN,SA,979,55,56066.151900000004
20240702,GW-ATLAS,BNPL,AE,139,36,8421.751
20240702,GW-ATLAS,BNPL,EG,146,38,2051.2772
20240702,GW-ATLAS,BNPL,SA,427,132,12315.6882
20240702,GW-ATLAS,CARD,AE,800,100,51587.7524
20240702,GW-ATLAS,CARD,EG,16815,2197,255643.2984
20240702,GW-ATLAS,CARD,OM,680,97,44072.4837
20240702,GW-ATLAS,CARD,SA,1061,139,51516.4668
20240702,GW-ATLAS,TOKEN,AE,46,4,1201.1654
20240702,GW-ATLAS,TOKEN,EG,1057,77,15503.002
20240702,GW-ATLAS,TOKEN,OM,162,16,4342.2367
20240702,GW-ATLAS,TOKEN,SA,1019,67,41055.4616
20240702,GW-NILE,BANKTR,EG,1083,35,40493.676999999996
20240702,GW-NILE,BNPL,EG,190,40,2756.3691
20240702,GW-NILE,CARD,EG,3415,405,93544.2342
20240702,GW-NILE,LDEBIT,EG,7230,363,101830.3717
20240702,GW-NILE,TOKEN,EG,1978,91,22220.8415
20240702,GW-NILE,WALLET,EG,8594,1147,147572.7405
20240702,GW-NIMBUS,BANKTR,AE,41,2,91279.7495
20240702,GW-NIMBUS,BANKTR,OM,13,0,26112.5357
20240702,GW-NIMBUS,BANKTR,SA,836,30,161777.1867
20240702,GW-NIMBUS,CARD,AE,6183,603,317347.4255
20240702,GW-NIMBUS,CARD,OM,861,91,29608.8948
20240702,GW-NIMBUS,CARD,SA,3534,347,189424.3227
20240702,GW-NIMBUS,LDEBIT,AE,905,29,35851.1478
20240702,GW-NIMBUS,LDEBIT,OM,535,35,23714.4082
20240702,GW-NIMBUS,LDEBIT,SA,3880,217,187117.168
20240702,GW-NIMBUS,TOKEN,AE,1207,46,53235.2675
20240702,GW-NIMBUS,TOKEN,OM,102,4,3833.42
20240702,GW-NIMBUS,TOKEN,SA,409,26,10201.9921
20240702,GW-ORION,CARD,AE,7674,571,244272.994
20240702,GW-ORION,CARD,SA,4659,462,205992.7736
20240702,GW-ORION,TOKEN,AE,2257,41,71629.8732
20240702,GW-ORION,TOKEN,SA,1007,35,60146.3626
20240703,GW-ATLAS,BNPL,AE,130,43,10267.4908
20240703,GW-ATLAS,BNPL,EG,147,55,1930.2681
20240703,GW-ATLAS,BNPL,SA,439,127,12515.4694
20240703,GW-ATLAS,CARD,AE,846,110,54360.503600000004
20240703,GW-ATLAS,CARD,EG,16467,2076,174711.2092
20240703,GW-ATLAS,CARD,OM,675,79,36536.5149
20240703,GW-ATLAS,CARD,SA,1196,139,55544.437300000005
20240703,GW-ATLAS,TOKEN,AE,53,5,1277.8487
20240703,GW-ATLAS,TOKEN,EG,1070,77,15856.8946
20240703,GW-ATLAS,TOKEN,OM,171,9,5269.2068
20240703,GW-ATLAS,TOKEN,SA,971,39,37324.661400000005
20240703,GW-NILE,BANKTR,EG,1114,44,34042.7623
20240703,GW-NILE,BNPL,EG,220,45,2872.1789
20240703,GW-NILE,CARD,EG,3614,448,97604.5858
20240703,GW-NILE,LDEBIT,EG,7022,353,92541.5044
20240703,GW-NILE,TOKEN,EG,2100,107,24961.772100000002
20240703,GW-NILE,WALLET,EG,8583,1205,105683.39270000001
20240703,GW-NIMBUS,BANKTR,AE,2,0,4167.7195
20240703,GW-NIMBUS,BANKTR,OM,27,1,58115.8388
