month_key,merchant_key,payment_method,gateway,status,currency,txn_count,amount_usd,gmv_usd,refund_usd,revenue_usd,expected_revenue_usd,cost_usd,gp_usd,gmv_local,date_key
202407,1,CARD,GW-ORION,Failed,SAR,26,1387.5194999999999,0.0,0.0,0.0,0.0,0.3016,-0.3016,0.0,20240701
202407,1,CARD,GW-ORION,Refunded,SAR,1,32.8747,0.0,32.8747,0.0,0.0,0.1493,-0.1493,0.0,20240701
202407,1,CARD,GW-ORION,Success,SAR,281,15125.088,15125.088,0.0,402.952,402.9435,210.6269,192.3251,56719.08,20240701
202407,1,CARD,GW-ORION,Voided,SAR,1,53.3653,0.0,0.0,0.0,0.0,0.0107,-0.0107,0.0,20240701
202407,1,LDEBIT,GW-NIMBUS,Failed,SAR,8,426.9251,0.0,0.0,0.0,0.0,0.1253,-0.1253,0.0,20240701
202407,1,LDEBIT,GW-NIMBUS,Success,SAR,144,7807.3679,7807.3679,0.0,101.8642,101.8672,41.6212,60.243,29277.63,20240701
202407,1,LDEBIT,GW-NIMBUS,Voided,SAR,1,53.3653,0.0,0.0,0.0,0.0,0.016,-0.016,0.0,20240701
202407,1,TOKEN,GW-ORION,Failed,SAR,3,160.0959,0.0,0.0,0.0,0.0,0.0321,-0.0321,0.0,20240701
202407,1,TOKEN,GW-ORION,Refunded,SAR,1,67.304,0.0,67.304,0.0,0.0,0.1493,-0.1493,0.0,20240701
202407,1,TOKEN,GW-ORION,Success,SAR,86,4571.0773,4571.0773,0.0,124.4054,124.404,65.9064,58.498999999999995,17141.54,20240701
202407,2,BNPL,GW-ATLAS,Failed,AED,29,2027.7712,0.0,0.0,0.0,0.0,0.5747,-0.5747,0.0,20240701
202407,2,BNPL,GW-ATLAS,Refunded,AED,2,151.5017,0.0,151.5017,0.0,0.0,0.2996,-0.2996,0.0,20240701
202407,2,BNPL,GW-ATLAS,Success,AED,95,6826.0777,6826.0777,0.0,290.7855,290.7908,237.8165,52.969,25068.77,20240701
202407,2,BNPL,GW-ATLAS,Voided,AED,3,209.7672,0.0,0.0,0.0,0.0,0.0573,-0.0573,0.0,20240701
202407,2,CARD,GW-NIMBUS,Failed,AED,49,3426.2381,0.0,0.0,0.0,0.0,0.7596999999999999,-0.7596999999999999,0.0,20240701
202407,2,CARD,GW-NIMBUS,Refunded,AED,9,668.4847,0.0,668.4847,0.0,0.0,1.3479999999999999,-1.3479999999999999,0.0,20240701
202407,2,CARD,GW-NIMBUS,Success,AED,422,29759.5397,29759.5397,0.0,676.0791,676.0781,429.1899,246.8892,109291.91,20240701
202407,2,CARD,GW-NIMBUS,Voided,AED,3,209.7672,0.0,0.0,0.0,0.0,0.0489,-0.0489,0.0,20240701
202407,2,TOKEN,GW-ORION,Failed,AED,6,419.5344,0.0,0.0,0.0,0.0,0.0654,-0.0654,0.0,20240701
202407,2,TOKEN,GW-ORION,Refunded,AED,4,334.2655,0.0,334.2655,0.0,0.0,0.5992,-0.5992,0.0,20240701
202407,2,TOKEN,GW-ORION,Success,AED,137,9949.6691,9949.6691,0.0,230.3039,230.30429999999998,140.4849,89.819,36540.159999999996,20240701
202407,2,TOKEN,GW-ORION,Voided,AED,3,209.7672,0.0,0.0,0.0,0.0,0.0327,-0.0327,0.0,20240701
202407,3,CARD,GW-NIMBUS,Failed,SAR,186,5226.656199999999,0.0,0.0,0.0,0.0,2.7919,-2.7919,0.0,20240701
202407,3,CARD,GW-NIMBUS,Refunded,SAR,13,491.0453,0.0,491.0453,0.0,0.0,1.9441000000000002,-1.9441000000000002,0.0,20240701
202407,3,CARD,GW-NIMBUS,Success,SAR,1644,46522.1307,46522.1307,0.0,1310.0882,1310.0861,734.9093,575.1789,174457.99,20240701
202407,3,CARD,GW-NIMBUS,Voided,SAR,12,337.21299999999997,0.0,0.0,0.0,0.0,0.1893,-0.1893,0.0,20240701
202407,3,LDEBIT,GW-NIMBUS,Failed,SAR,57,1601.7144,0.0,0.0,0.0,0.0,0.8505,-0.8505,0.0,20240701
202407,3,LDEBIT,GW-NIMBUS,Refunded,SAR,6,152.9759,0.0,152.9759,0.0,0.0,0.896,-0.896,0.0,20240701
202407,3,LDEBIT,GW-NIMBUS,Success,SAR,755,21388.077,21388.077,0.0,295.8134,295.8164,130.2134,165.6,80205.29,20240701
202407,3,LDEBIT,GW-NIMBUS,Voided,SAR,5,140.5065,0.0,0.0,0.0,0.0,0.08,-0.08,0.0,20240701
202407,3,TOKEN,GW-ATLAS,Failed,SAR,29,814.9195,0.0,0.0,0.0,0.0,0.5943,-0.5943,0.0,20240701
202407,3,TOKEN,GW-ATLAS,Refunded,SAR,5,168.0826,0.0,168.0826,0.0,0.0,0.7465999999999999,-0.7465999999999999,0.0,20240701
202407,3,TOKEN,GW-ATLAS,Success,SAR,517,14996.4215,14996.4215,0.0,429.1946,429.1957,265.0054,164.1892,56236.58,20240701
202407,3,TOKEN,GW-ATLAS,Voided,SAR,7,196.7065,0.0,0.0,0.0,0.0,0.1465,-0.1465,0.0,20240701
202407,4,CARD,GW-ATLAS,Failed,SAR,53,5295.6716,0.0,0.0,0.0,0.0,1.0716999999999999,-1.0716999999999999,0.0,20240701
202407,4,CARD,GW-ATLAS,Refunded,SAR,3,298.7761,0.0,298.7761,0.0,0.0,0.44789999999999996,-0.44789999999999996,0.0,20240701
202407,4,CARD,GW-ATLAS,Success,SAR,514,51788.3601,51788.3601,0.0,1340.9094,1340.9108,793.1146,547.7948,194206.35,20240701
202407,4,CARD,GW-ATLAS,Voided,SAR,7,699.4238,0.0,0.0,0.0,0.0,0.1465,-0.1465,0.0,20240701
202407,4,LDEBIT,GW-NIMBUS,Failed,SAR,15,1498.7676,0.0,0.0,0.0,0.0,0.2319,-0.2319,0.0,20240701
202407,4,LDEBIT,GW-NIMBUS,Refunded,SAR,1,78.6747,0.0,78.6747,0.0,0.0,0.1493,-0.1493,0.0,20240701
202407,4,LDEBIT,GW-NIMBUS,Success,SAR,165,15757.376199999999,15757.376199999999,0.0,200.1947,200.1971,78.3333,121.8614,59090.16,20240701
202407,4,LDEBIT,GW-NIMBUS,Voided,SAR,1,99.9173,0.0,0.0,0.0,0.0,0.016,-0.016,0.0,20240701
202407,5,CARD,GW-NILE,Failed,EGP,12,208.9707,0.0,0.0,0.0,0.0,0.09540000000000001,-0.09540000000000001,0.0,20240701
202407,5,CARD,GW-NILE,Refunded,EGP,5,77.8901,0.0,77.8901,0.0,0.0,0.7495,-0.7495,0.0,20240701
202407,5,CARD,GW-NILE,Success,EGP,147,2599.2762,2599.2762,0.0,74.9834,74.9843,39.3724,35.611,124997.38,20240701
202407,5,CARD,GW-NILE,Voided,EGP,5,87.0715,0.0,0.0,0.0,0.0,0.03950000000000001,-0.03950000000000001,0.0,20240701
202407,5,LDEBIT,GW-NILE,Success,EGP,27,489.6431,489.6431,0.0,6.9154,6.915,2.9278,3.9875999999999996,23546.6,20240701
202407,5,TOKEN,GW-ATLAS,Failed,EGP,2,34.8286,0.0,0.0,0.0,0.0,0.04,-0.04,0.0,20240701
202407,5,TOKEN,GW-ATLAS,Success,EGP,50,862.3835,862.3835,0.0,25.4473,25.4469,16.7397,8.707600000000001,41471.42,20240701
202407,5,TOKEN,GW-ATLAS,Voided,EGP,1,17.4143,0.0,0.0,0.0,0.0,0.02,-0.02,0.0,20240701
