dimension_value,month_key,fiscal_year,gmv,refunds,revenue,cogs,gp,success_txn,failed_txn,active_merchants,dimension_name,date_key,gp_margin,take_rate,success_rate,gmv_yoy,gmv_rank
AE,202407,2025,22863396.881100003,364695.2697,445353.39019999997,326932.2063,118421.18389999999,564254,42443,94,country,20240701,0.2659038563663324,0.019478881135469014,0.9300425088635678,,2.0
AE,202408,2025,22052294.5313,503104.9335,437597.97170000005,321616.3874,115981.5843,562145,42078,97,country,20240801,0.26504141198239467,0.019843648064780464,0.9303601484882237,,2.0
AE,202409,2025,22330981.7016,512653.4867,440569.7733,323596.001,116973.77230000001,575461,43265,100,country,20240901,0.2655056687703092,0.019729082186674914,0.9300740553977043,,2.0
AE,202410,2025,22919797.2353,530421.5518,447879.7374,329240.6677,118639.06970000001,580995,44259,103,country,20241001,0.2648904600791168,0.019541173632644383,0.9292143672811369,,2.0
AE,202411,2025,25061234.934100002,547169.4054,489962.3934,358136.582,131825.8114,624981,47510,106,country,20241101,0.26905291748050314,0.019550608527009346,0.9293522143790772,,2.0
AE,202412,2025,24455031.0323,626319.2897,478793.1361,351597.2966,127195.8395,614601,46900,110,country,20241201,0.2656592793624219,0.01957851271861459,0.9291006362802172,,2.0
AE,202501,2025,21871623.932,527234.6453,425720.94269999996,311724.6148,113996.3279,568260,43691,112,country,20250101,0.2677724219462037,0.019464532858812323,0.9286037607586228,,2.0
AE,202502,2025,24863490.2792,498326.141,476616.1966,350010.3349,126605.86170000001,617620,47782,117,country,20250201,0.2656348286171524,0.019169319803773562,0.928190777905687,,2.0
AE,202503,2025,29153924.066600002,625148.2668,555339.364,409946.2317,145393.1323,732773,56542,120,country,20250301,0.26180951995328033,0.019048528861204683,0.9283657348460373,,2.0
AE,202504,2025,27510601.4956,614144.1954,510944.21150000003,377352.6369,133591.5746,662960,51209,119,country,20250401,0.2614601977930422,0.01857262959451176,0.9282956835146863,,2.0
