txn_date,mid,payment_method,gateway,status,txn_count,amount_local,currency,revenue_local,cost_local,gp_local,status_std,dq_failed_rules
2026-05-16,AE551105480,CARD,GW-NIMBUS,PENDING_REVIEW,5,1849.69,AED,44.69,26.16,18.53,,DQ-T05
,EG911025364,BNPL,GW-NILE,Failed,3,627.85,EGP,0.0,1.16,-1.16,Failed,DQ-T02
,AE671906697,TOKEN,GW-ORION,REVERSED,14,888.57,AED,0.0,0.62,-0.62,Voided,DQ-T02
2025-12-02,XX780625366,LDEBIT,GW-NIMBUS,Success,42,134.19,OMR,2.3,1.33,0.97,Success,DQ-T04
2025-02-18,SA887092113,CARD,GW-ORION,Success,18,2129.98,SAR,2981.97,31.32,2950.65,Success,DQ-T09
2025-10-15,XX967744146,TOKEN,GW-NILE,Success,7,3228.39,EGP,115.6,59.36,56.24,Success,DQ-T04
,SA901680809,LDEBIT,GW-NIMBUS,Success,3,1161.38,SAR,13.35,5.73,7.62,Success,DQ-T02
,OM221133708,LDEBIT,GW-NIMBUS,Success,7,54.92,OMR,0.74,0.37,0.37,Success,DQ-T02
2025-07-06,EG838350410,CARD,GW-NILE,Success,0,20506.89,EGP,518.74,270.44,248.3,Success,DQ-T08
2025-06-09,XX861335386,CARD,GW-NIMBUS,Success,205,3010.53,OMR,55.65,45.77,9.88,Success,DQ-T04
2025-04-26,EG229215706,WALLET,GW-NILE,Success,0,702.14,EGP,21.88,10.91,10.97,Success,DQ-T08
2025-09-22,EG331354329,LDEBIT,GW-NILE,Success,49,-19137.12,EGP,-250.98,-164.86,-86.12,Success,DQ-T07
2025-10-10,EG623813968,LDEBIT,GW-NILE,Success,4,8030.38,EGP,11242.53,39.57,11202.96,Success,DQ-T09
2025-06-03,AE738504243,CARD,GW-ATLAS,UNKNOWN,2,504.13,AED,0.0,0.15,-0.15,,DQ-T05
,AE162515553,CARD,GW-ORION,Success,2,1948.62,AED,44.17,25.42,18.75,Success,DQ-T02
,EG595418422,LDEBIT,GW-NILE,Voided,1,1791.55,EGP,0.0,0.41,-0.41,Voided,DQ-T02
2026-04-30,AE595956042,BNPL,GW-ATLAS,Success,0,315.24,AED,15.1,10.97,4.13,Success,DQ-T08
2025-09-02,SA189353734,TOKEN,GW-ORION,Success,22,-874.12,SAR,-28.16,-16.53,-11.63,Success,DQ-T07
2026-02-11,XX844741163,CARD,GW-ORION,Refunded,60,8175.59,SAR,0.0,33.75,-33.75,Refunded,DQ-T04
2024-08-15,EG431057266,TOKEN,GW-NILE,CHARGEBACK?,2,15822.32,EGP,366.17,204.5,161.67,,DQ-T05
2024-10-07,EG105351460,TOKEN,GW-NILE,Success,5,-6870.25,EGP,-182.39,-99.45,-82.94,Success,DQ-T07
,SA307616362,LDEBIT,GW-NIMBUS,Voided,3,153.55,SAR,0.0,0.17,-0.17,Voided,DQ-T02
,OM206534144,CARD,GW-NIMBUS,Failed,1,44.78,OMR,0.0,0.01,-0.01,Failed,DQ-T02
,SA847623511,CARD,GW-ORION,Failed,2,194.94,SAR,0.0,0.09,-0.09,Failed,DQ-T02
2025-10-10,EG389592600,LDEBIT,GW-NILE,Success,0,9277.92,EGP,184.28,86.91,97.37,Success,DQ-T08
2026-01-04,SA754882184,CARD,GW-ORION,Success,13,-1837.5,SAR,-50.6,-26.46,-24.14,Success,DQ-T07
2025-07-30,AE727701879,CARD,GW-NIMBUS,CHARGEBACK?,42,4983.28,AED,141.23,77.3,63.93,,DQ-T05
,SA295911590,CARD,GW-ORION,Success,4,584.17,SAR,15.0,8.38,6.62,Success,DQ-T02
,SA734980407,CARD,GW-ATLAS,Failed,67,4017.99,SAR,0.0,5.03,-5.03,Failed,DQ-T02
2025-10-19,SA696833214,CARD,GW-ATLAS,PENDING_REVIEW,1,224.47,SAR,0.0,0.56,-0.56,,DQ-T05
2025-04-03,SA754882184,TOKEN,GW-ORION,UNKNOWN,1,139.94,SAR,0.0,0.04,-0.04,,DQ-T05
2025-09-17,XX375197038,TOKEN,GW-NIMBUS,Success,1,6.51,OMR,0.19,0.12,0.07,Success,DQ-T04
,EG542845011,WALLET,GW-NILE,Success,1,567.15,EGP,13.8,6.33,7.47,Success,DQ-T02
2025-07-17,EG237932689,WALLET,GW-NILE,CHARGEBACK?,3,1134.14,EGP,28.69,14.46,14.23,,DQ-T05
2026-02-01,OM173271126,LDEBIT,GW-NIMBUS,PENDING_REVIEW,1,16.87,OMR,0.21,0.09,0.12,,DQ-T05
2025-09-04,SA987666099,BANKTR,GW-NIMBUS,Captured,779,-77331.34,SAR,-1393.19,-1104.92,-288.27,Success,DQ-T07
2025-10-15,EG770407516,TOKEN,GW-ATLAS,PENDING_REVIEW,3,551.46,EGP,0.0,22.66,-22.66,,DQ-T05
,EG511884968,CARD,GW-ATLAS,Success,9,20223.66,EGP,471.17,327.76,143.41,Success,DQ-T02
2026-04-02,SA897535524,CARD,GW-ORION,UNKNOWN,2,1498.67,SAR,0.0,0.09,-0.09,,DQ-T05
