fx_month,currency,rate_per_usd
2024-07,SAR,3.75
2024-07,AED,3.6725
2024-07,OMR,0.3845
2024-07,USD,1.0
2024-07,EGP,48.0893
2024-08,SAR,3.75
2024-08,AED,3.6725
2024-08,OMR,0.3845
2024-08,USD,1.0
2024-08,EGP,48.4424
2024-09,SAR,3.75
2024-09,AED,3.6725
2024-09,OMR,0.3845
2024-09,USD,1.0
2024-09,EGP,48.2387
2024-10,SAR,3.75
2024-10,AED,3.6725
2024-10,OMR,0.3845
2024-10,USD,1.0
2024-10,EGP,48.6072
2024-11,SAR,3.75
2024-11,AED,3.6725
2024-11,OMR,0.3845
2024-11,USD,1.0
2024-11,EGP,48.7993
2024-12,SAR,3.75
2024-12,AED,3.6725
2024-12,OMR,0.3845
2024-12,USD,1.0
2024-12,EGP,49.0228
2025-01,SAR,3.75
2025-01,AED,3.6725
2025-01,OMR,0.3845
2025-01,USD,1.0
2025-01,EGP,49.0061
2025-02,SAR,3.75
2025-02,AED,3.6725
2025-02,OMR,0.3845
2025-02,USD,1.0
2025-02,EGP,49.0665
2025-03,SAR,3.75
2025-03,AED,3.6725
2025-03,OMR,0.3845
2025-03,USD,1.0
2025-03,EGP,49.3963
2025-04,SAR,3.75
2025-04,AED,3.6725
2025-04,OMR,0.3845
2025-04,USD,1.0
2025-04,EGP,49.7097
2025-05,SAR,3.75
2025-05,AED,3.6725
2025-05,OMR,0.3845
2025-05,USD,1.0
2025-05,EGP,49.8139
2025-06,SAR,3.75
2025-06,AED,3.6725
2025-06,OMR,0.3845
2025-06,USD,1.0
2025-06,EGP,49.8762
2025-07,SAR,3.75
2025-07,AED,3.6725
2025-07,OMR,0.3845
2025-07,USD,1.0
2025-07,EGP,50.1882
2025-08,SAR,3.75
2025-08,AED,3.6725
2025-08,OMR,0.3845
2025-08,USD,1.0
2025-08,EGP,49.4606
2025-09,SAR,3.75
2025-09,AED,3.6725
2025-09,OMR,0.3845
2025-09,USD,1.0
2025-09,EGP,50.9335
2025-10,SAR,3.75
2025-10,AED,3.6725
2025-10,OMR,0.3845
2025-10,USD,1.0
2025-10,EGP,50.3447
2025-11,SAR,3.75
2025-11,AED,3.6725
2025-11,OMR,0.3845
2025-11,USD,1.0
2025-11,EGP,50.9719
2025-12,SAR,3.75
2025-12,AED,3.6725
2025-12,OMR,0.3845
2025-12,USD,1.0
2025-12,EGP,50.9032
2026-01,SAR,3.75
2026-01,AED,3.6725
2026-01,OMR,0.3845
2026-01,USD,1.0
2026-01,EGP,50.5173
2026-02,SAR,3.75
2026-02,AED,3.6725
2026-02,OMR,0.3845
2026-02,USD,1.0
2026-02,EGP,51.3061
2026-03,SAR,3.75
2026-03,AED,3.6725
2026-03,OMR,0.3845
2026-03,USD,1.0
2026-03,EGP,51.5934
2026-04,SAR,3.75
2026-04,AED,3.6725
2026-04,OMR,0.3845
2026-04,USD,1.0
2026-04,EGP,51.3087
2026-05,SAR,3.75
2026-05,AED,3.6725
2026-05,OMR,0.3845
2026-05,USD,1.0
2026-05,EGP,51.5552
2026-06,SAR,3.75
2026-06,AED,3.6725
2026-06,OMR,0.3845
2026-06,USD,1.0
2026-06,EGP,51.437
