date_key,month_key,merchant_key,payment_method,gateway,status,currency,txn_count,amount_usd,gmv_usd,refund_usd,revenue_usd,expected_revenue_usd,cost_usd,gp_usd,amount_local
20240701,202407,267,CARD,GW-ATLAS,Success,OMR,6,16713.186,16713.186,0.0,258.1274,258.1373,244.1092,14.018200000000036,6426.22
20240701,202407,395,WALLET,GW-NILE,Success,EGP,26,211.4325,211.4325,0.0,5.0213,5.0212,2.6226,2.3987000000000003,10167.64
20240701,202407,66,CARD,GW-ATLAS,Failed,EGP,6,35.1064,0.0,0.0,0.0,0.0,0.12,-0.12,1688.24
20240701,202407,516,CARD,GW-ORION,Success,SAR,714,24629.72,24629.72,0.0,390.0667,390.0667,358.2373,31.82940000000002,92361.45
20240701,202407,135,CARD,GW-ATLAS,Voided,SAR,3,33.2933,0.0,0.0,0.0,0.0,0.0587,-0.0587,124.85
20240701,202407,504,CARD,GW-ORION,Voided,SAR,1,12.776,0.0,0.0,0.0,0.0,0.0107,-0.0107,47.91
20240701,202407,487,LDEBIT,GW-NILE,Success,EGP,4,31.9647,31.9647,0.0,0.5956,0.5956,0.2695,0.3261,1537.16
20240701,202407,298,TOKEN,GW-ORION,Success,AED,9,104.0871,104.0871,0.0,3.224,3.2243,1.9197,1.3043000000000002,382.26
20240702,202407,146,LDEBIT,GW-NIMBUS,Success,SAR,4,38.0827,38.0827,0.0,0.6347,0.634,0.352,0.2827,142.81
20240702,202407,190,LDEBIT,GW-NIMBUS,Success,SAR,14,841.416,841.416,0.0,9.568,9.5685,4.416,5.151999999999999,3155.31
20240702,202407,221,WALLET,GW-NILE,Success,EGP,9,15891.082,15891.082,0.0,213.5733,213.5733,129.0329,84.54039999999998,764191.01
20240702,202407,339,LDEBIT,GW-NIMBUS,Success,SAR,9,278.5173,278.5173,0.0,3.4053,3.4042,1.6587,1.7466,1044.44
20240702,202407,1,LDEBIT,GW-NIMBUS,Success,SAR,6,338.9067,338.9067,0.0,4.408,4.4086,1.7947,2.6133000000000006,1270.9
20240702,202407,247,BANKTR,GW-NIMBUS,Success,SAR,202,22265.0347,22265.0347,0.0,128.48,128.4795,84.8613,43.61869999999999,83493.88
20240702,202407,120,CARD,GW-ORION,Voided,SAR,8,611.7413,0.0,0.0,0.0,0.0,0.096,-0.096,2294.03
20240702,202407,285,CARD,GW-NIMBUS,Refunded,SAR,17,1161.5893,0.0,1161.5893,0.0,0.0,2.5493,-2.5493,4355.96
20240702,202407,311,WALLET,GW-NILE,Success,EGP,3,54.3626,54.3626,0.0,1.1495,1.1495,0.5452,0.6043,2614.26
20240703,202407,245,LDEBIT,GW-NILE,Success,EGP,5,42.2495,42.2495,0.0,0.702,0.7021,0.346,0.356,2031.75
20240703,202407,106,CARD,GW-ATLAS,Success,EGP,1,19.8163,19.8163,0.0,0.5477,0.5477,0.3629,0.1847999999999999,952.95
20240703,202407,385,TOKEN,GW-ATLAS,Success,EGP,4,157.9782,157.9782,0.0,4.123,4.123,2.6846,1.4384,7597.06
20240703,202407,353,TOKEN,GW-NIMBUS,Success,OMR,4,213.6021,213.6021,0.0,4.9935,4.9882,3.251,1.7425000000000002,82.13
20240703,202407,60,CARD,GW-ATLAS,Failed,EGP,1,33.909,0.0,0.0,0.0,0.0,0.02,-0.02,1630.66
20240704,202407,184,CARD,GW-NILE,Failed,EGP,35,149.3099,0.0,0.0,0.0,0.0,0.2801,-0.2801,7180.21
20240704,202407,248,CARD,GW-ATLAS,Success,SAR,30,338.1333,338.1333,0.0,11.5707,11.5695,7.1493,4.4214,1268.0
20240704,202407,347,WALLET,GW-NILE,Refunded,EGP,1,20.8194,0.0,20.8194,0.0,0.0,0.1499,-0.1499,1001.19
20240704,202407,539,CARD,GW-ATLAS,Success,EGP,20,116.0518,116.0518,0.0,4.594,4.594,3.172,1.4220000000000002,5580.85
20240704,202407,417,TOKEN,GW-NILE,Failed,EGP,37,306.0011,0.0,0.0,0.0,0.0,0.2959,-0.2959,14715.38
20240704,202407,295,CARD,GW-NILE,Failed,EGP,1,1550.3613,0.0,0.0,0.0,0.0,0.0079,-0.0079,74555.79
