txn_date,mid,payment_method,gateway,status,txn_count,amount_local,currency,revenue_local,cost_local,gp_local
2025-05-05,EG401975537,BANKTR,GW-NILE,DECLINED,1,2770.02,EGP,0.0,0.4,-0.4
2025-04-13,EG259754316,CARD,GW-ATLAS,Failed,5,1879.04,EGP,0.0,4.97,-4.97
2026-05-10,AE286189201,CARD,GW-ORION,Success,24,1384.55,AED,39.88,22.99,16.89
2025-02-26,EG744743048,CARD,GW-NILE,Failed,11,14054.66,EGP,0.0,4.32,-4.32
2025-09-05,SA779172798,TOKEN,GW-ORION,Failed,1,144.08,SAR,0.0,0.04,-0.04
2026-02-23,OM817062602,CARD,GW-NIMBUS,Voided,6,79.15,OMR,0.0,0.03,-0.03
2026-04-10,OM436896345,LDEBIT,GW-NIMBUS,Success,38,133.1,OMR,2.21,1.26,0.95
2025-06-04,EG266138287,CARD,GW-ATLAS,Voided,1,284.23,EGP,0.0,1.0,-1.0
2024-12-05,EG389262771,LDEBIT,GW-NILE,Voided,1,373.69,EGP,0.0,0.39,-0.39
2025-10-31,EG482640702,LDEBIT,GW-NILE,SETTLED,13,26021.76,EGP,333.02,128.29,204.73
2025-05-24,EG911025364,BNPL,GW-NILE,Failed,4,864.47,EGP,0.0,1.59,-1.59
2025-08-28,SA676493356,TOKEN,GW-ORION,Failed,1,104.85,SAR,0.0,0.04,-0.04
2024-07-06,SA407055199,CARD,GW-ORION,Failed,4,422.53,SAR,0.0,0.18,-0.18
2025-06-14,SA851607798,CARD,GW-NIMBUS,Failed,7,422.69,SAR,0.0,0.39,-0.39
2025-07-14,EG998632198,BNPL,GW-NILE,Success,11,18728.94,EGP,802.54,543.81,258.73
2025-06-02,AE932795909,TOKEN,GW-ORION,Refunded,2,643.8,AED,0.0,1.1,-1.1
2025-10-29,EG538857731,CARD,GW-NILE,VOID,3,4483.71,EGP,0.0,1.21,-1.21
2025-05-13,EG897740135,CARD,GW-ATLAS,Voided,1,318.9,EGP,0.0,1.0,-1.0
2025-03-07,SA777243922,TOKEN,GW-ORION,Success,1,50.57,SAR,1.67,0.9,0.77
