cohort,cohort_size,months_since_live,active_share
2024-Q3,26,0,0.8076923076923077
2024-Q3,26,1,1.0
2024-Q3,26,2,1.0
2024-Q3,26,3,1.0
2024-Q3,26,4,0.9615384615384616
2024-Q3,26,5,0.9615384615384616
2024-Q3,26,6,0.9615384615384616
2024-Q3,26,7,0.9615384615384616
2024-Q3,26,8,0.9230769230769231
2024-Q3,26,9,0.9230769230769231
2024-Q3,26,10,0.9230769230769231
2024-Q3,26,11,0.9230769230769231
2024-Q3,26,12,0.9230769230769231
2024-Q4,49,0,0.7755102040816326
2024-Q4,49,1,0.9795918367346939
2024-Q4,49,2,0.9795918367346939
2024-Q4,49,3,0.9795918367346939
2024-Q4,49,4,0.9591836734693877
2024-Q4,49,5,0.9591836734693877
2024-Q4,49,6,0.9591836734693877
2024-Q4,49,7,0.9387755102040817
2024-Q4,49,8,0.9387755102040817
2024-Q4,49,9,0.9183673469387755
2024-Q4,49,10,0.9183673469387755
2024-Q4,49,11,0.9183673469387755
2024-Q4,49,12,0.8979591836734694
2025-Q1,54,0,0.7962962962962963
2025-Q1,54,1,1.0
2025-Q1,54,2,0.9814814814814815
2025-Q1,54,3,0.9814814814814815
2025-Q1,54,4,0.9814814814814815
2025-Q1,54,5,0.9629629629629629
2025-Q1,54,6,0.9629629629629629
2025-Q1,54,7,0.9444444444444444
2025-Q1,54,8,0.9444444444444444
2025-Q1,54,9,0.9444444444444444
2025-Q1,54,10,0.9444444444444444
2025-Q1,54,11,0.9444444444444444
2025-Q1,54,12,0.9444444444444444
2025-Q2,56,0,0.7321428571428571
2025-Q2,56,1,0.9821428571428571
2025-Q2,56,2,0.9821428571428571
2025-Q2,56,3,0.9642857142857143
2025-Q2,56,4,0.9642857142857143
2025-Q2,56,5,0.9642857142857143
2025-Q2,56,6,0.9642857142857143
2025-Q2,56,7,0.9285714285714286
2025-Q2,56,8,0.9107142857142857
2025-Q2,56,9,0.9107142857142857
2025-Q2,56,10,0.8928571428571429
2025-Q2,56,11,0.8928571428571429
2025-Q2,56,12,0.875
2025-Q3,59,0,0.8135593220338984
2025-Q3,59,1,0.9830508474576272
2025-Q3,59,2,1.0
2025-Q3,59,3,1.0
2025-Q3,59,4,1.0
2025-Q3,59,5,1.0
2025-Q3,59,6,1.0
2025-Q3,59,7,1.0
2025-Q3,59,8,1.0
2025-Q3,59,9,0.9830508474576272
2025-Q3,59,10,
2025-Q3,59,11,
2025-Q3,59,12,
2025-Q4,61,0,0.8032786885245902
2025-Q4,61,1,1.0
2025-Q4,61,2,1.0
2025-Q4,61,3,1.0
2025-Q4,61,4,1.0
2025-Q4,61,5,1.0
2025-Q4,61,6,0.9672131147540983
2025-Q4,61,7,
2025-Q4,61,8,
2025-Q4,61,9,
2025-Q4,61,10,
2025-Q4,61,11,
2025-Q4,61,12,
2026-Q1,56,0,0.7321428571428571
2026-Q1,56,1,1.0
2026-Q1,56,2,1.0
2026-Q1,56,3,1.0
2026-Q1,56,4,
2026-Q1,56,5,
2026-Q1,56,6,
2026-Q1,56,7,
2026-Q1,56,8,
2026-Q1,56,9,
2026-Q1,56,10,
2026-Q1,56,11,
2026-Q1,56,12,
2026-Q2,55,0,0.8545454545454545
2026-Q2,55,1,
2026-Q2,55,2,
2026-Q2,55,3,
2026-Q2,55,4,
2026-Q2,55,5,
2026-Q2,55,6,
2026-Q2,55,7,
2026-Q2,55,8,
2026-Q2,55,9,
2026-Q2,55,10,
2026-Q2,55,11,
2026-Q2,55,12,
