gateway,payment_method,slope_pp_per_month,sr_6m_ago_pct,sr_latest_pct,flag_degrading
GW-NILE,WALLET,-1.17,87.68,81.93,True
GW-ORION,CARD,-0.11,91.62,90.95,False
GW-ORION,TOKEN,-0.11,96.71,96.05,False
GW-NIMBUS,CARD,-0.03,91.22,91.11,False
GW-NIMBUS,LDEBIT,-0.03,94.68,94.5,False
GW-NIMBUS,TOKEN,-0.03,95.82,95.62,False
GW-ATLAS,TOKEN,-0.02,93.82,93.72,False
GW-NILE,CARD,-0.01,90.98,90.96,False
GW-NILE,LDEBIT,-0.0,94.77,94.82,False
GW-NILE,BANKTR,0.01,97.03,97.12,False
GW-NILE,TOKEN,0.02,95.11,95.35,False
GW-NILE,BNPL,0.04,78.9,78.82,False
GW-ATLAS,CARD,0.05,88.84,89.2,False
GW-ATLAS,BNPL,0.05,77.05,77.24,False
GW-NIMBUS,BANKTR,0.07,97.77,98.01,False
