gateway,payment_method,start,end,anomalous_days,avg_success_rate,baseline_success_rate,excess_failed_txn,est_lost_gmv_usd,est_lost_revenue_usd,event_type
GW-ORION,CARD,20251012,20251025,14,0.7337,0.9165,51409,927376,18296,Incident
GW-ORION,TOKEN,20251012,20251025,14,0.7851,0.9659,11477,246236,4858,Incident
GW-NILE,WALLET,20260126,20260126,1,0.7572,0.8784,1139,10312,169,One-day blip
GW-ATLAS,CARD,20250103,20250103,1,0.8033,0.8932,1121,10717,242,One-day blip
GW-ATLAS,CARD,20241011,20241011,1,0.8029,0.8915,995,8361,189,One-day blip
GW-NILE,WALLET,20260220,20260220,1,0.8527,0.875,402,2371,39,One-day blip
GW-NILE,WALLET,20241209,20241209,1,0.8565,0.8904,392,2702,44,One-day blip
GW-NILE,CARD,20260406,20260406,1,0.8731,0.9096,317,4124,68,One-day blip
GW-NILE,CARD,20250417,20250417,1,0.8648,0.9113,284,3189,52,One-day blip
GW-NILE,CARD,20250512,20250512,1,0.8643,0.9073,255,2706,44,One-day blip
GW-NILE,WALLET,20240806,20240806,1,0.8591,0.8854,247,2177,36,One-day blip
GW-NILE,CARD,20251022,20251022,1,0.8885,0.9124,225,2143,35,One-day blip
GW-NIMBUS,CARD,20250204,20250204,1,0.8999,0.9144,224,5255,80,One-day blip
GW-NILE,LDEBIT,20240922,20240922,1,0.9104,0.948,217,1833,30,One-day blip
GW-NIMBUS,CARD,20250409,20250409,1,0.8958,0.9114,215,5225,80,One-day blip
GW-ORION,CARD,20260422,20260422,1,0.8998,0.9117,163,3288,65,One-day blip
GW-ORION,CARD,20260612,20260612,1,0.9002,0.9108,150,2110,42,One-day blip
GW-NILE,CARD,20250623,20250623,1,0.8946,0.91,145,1203,20,One-day blip
GW-NILE,CARD,20260516,20260516,1,0.8978,0.9085,109,830,14,One-day blip
GW-NIMBUS,LDEBIT,20260131,20260131,1,0.9348,0.9471,100,2000,30,One-day blip
GW-NILE,LDEBIT,20240810,20240810,1,0.9365,0.9498,92,524,9,One-day blip
GW-NIMBUS,LDEBIT,20260330,20260330,1,0.9394,0.9464,76,1500,23,One-day blip
GW-NIMBUS,TOKEN,20251212,20251212,1,0.9164,0.9584,70,1289,20,One-day blip
GW-NIMBUS,LDEBIT,20250325,20250325,1,0.9404,0.9488,70,1497,23,One-day blip
GW-NILE,TOKEN,20260318,20260318,1,0.9241,0.9513,65,490,8,One-day blip
GW-ATLAS,BNPL,20250516,20250516,1,0.732,0.7796,65,1177,27,One-day blip
GW-NIMBUS,TOKEN,20260320,20260320,1,0.9284,0.9622,61,1110,17,One-day blip
GW-NIMBUS,TOKEN,20250312,20250312,1,0.9186,0.9612,51,905,14,One-day blip
GW-NIMBUS,TOKEN,20260124,20260124,1,0.9251,0.9588,50,855,13,One-day blip
GW-NILE,TOKEN,20250304,20250304,1,0.9298,0.9561,49,372,6,One-day blip
GW-ATLAS,TOKEN,20260517,20260517,1,0.9265,0.9375,46,582,13,One-day blip
GW-ATLAS,TOKEN,20250216,20250216,1,0.9202,0.9375,45,474,11,One-day blip
GW-NILE,TOKEN,20260619,20260619,1,0.9381,0.9528,44,277,5,One-day blip
GW-ORION,TOKEN,20250207,20250207,1,0.9498,0.9705,43,1220,24,One-day blip
GW-ATLAS,TOKEN,20241011,20241011,1,0.9195,0.9377,41,510,12,One-day blip
GW-NILE,TOKEN,20250625,20250625,1,0.9418,0.9565,40,239,4,One-day blip
GW-ATLAS,TOKEN,20250701,20250701,1,0.9248,0.9373,35,479,11,One-day blip
GW-NILE,BANKTR,20241219,20241219,1,0.9404,0.9685,34,888,15,One-day blip
GW-NIMBUS,TOKEN,20240802,20240802,1,0.9477,0.9622,25,497,8,One-day blip
GW-NILE,BANKTR,20251124,20251124,1,0.9497,0.974,25,1173,19,One-day blip
GW-NIMBUS,BANKTR,20250707,20250707,1,0.9588,0.9774,20,2548,39,One-day blip
GW-NIMBUS,BANKTR,20250826,20250826,1,0.943,0.977,20,3977,61,One-day blip
GW-NIMBUS,BANKTR,20251228,20251228,1,0.944,0.9792,14,4591,70,One-day blip
GW-NIMBUS,BANKTR,20250420,20250420,1,0.9604,0.978,12,1383,21,One-day blip
GW-NILE,BANKTR,20250907,20250907,1,0.9426,0.9682,11,668,11,One-day blip
GW-NIMBUS,BANKTR,20241224,20241224,1,0.9479,0.9807,7,2530,39,One-day blip
