merchant_key,mid,merchant_name,country_code,segment,vertical,integration_type,account_manager,lifecycle_status,live_date,last_txn_date,gmv_last_3m,gmv_prior_3m,gmv_fy26,revenue_fy26,gp_fy26,leakage_fy26,success_last_3m,failed_last_3m,gmv_change_3m_pct,health_status,success_rate_last_3m,flag_negative_gp,flag_billing_leakage,flag_low_success_rate,flag_declining,flag_inactive,flag_never_transacted,alert_count,as_of_month
1,SA138962665,Bright Labs,SA,SME,Healthcare,Hosted Checkout,Reem Al-Ghamdi,Active,2020-09-16,2026-06-30,73601.2125,85174.6216,313017.7047,7236.099800000001,3552.3577,-0.022499999999922703,1379.0,87.0,-0.13587860894001325,Stable,0.9406548431105047,0,0,0,0,0,0,0,202606
2,AE208762198,Sand Deals,AE,Online,E-commerce,Direct API,Layla Haddad,Active,2020-10-30,2026-06-30,217499.70510000002,209384.09029999998,830208.2009,21317.9765,6834.3532000000005,-0.012799999999742604,3104.0,468.0,0.03875946251872433,Stable,0.8689809630459127,0,0,0,0,0,0,0,202606
3,SA168621990,Crescent Medical,SA,SME,Unclassified,Direct API,Reem Al-Ghamdi,Active,2020-12-28,2026-06-30,286123.4208,259185.061,1012065.3459999999,24843.5706,10974.976999999999,-0.0250000000003181,10224.0,866.0,0.10393484754123246,Stable,0.9219116321009919,0,0,0,0,0,0,0,202606
4,SA865281392,Swift Consulting,SA,SME,Professional Services,Payment Links,Reem Al-Ghamdi,Active,2020-09-14,2026-06-30,333160.8744,313667.7462,1190275.8101,26988.4441,11722.765400000002,0.0321999999996478,3307.0,336.0,0.0621457846276959,Stable,0.9077683228108702,0,0,0,0,0,0,0,202606
5,EG855745273,Coral Mart,EG,SME,Retail,E-commerce Plugin,Hany Soliman,Churned,2020-09-15,2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Churned,,0,0,0,0,1,0,1,202606
6,AE901159238,Prime Care,AE,SME,Healthcare,POS Terminal,Layla Haddad,Active,2020-10-20,2026-06-30,160539.2564,151933.8434,630617.5374,14841.5287,6702.410900000001,-0.0162999999995465,2774.0,248.0,0.05663921090539595,Stable,0.9179351422898743,0,0,0,0,0,0,0,202606
7,AE923160667,Silver Advisory,AE,SME,Professional Services,POS Terminal,Yousef Al-Marri,Active,2020-10-01,2026-06-30,62585.6171,60966.11529999999,233567.4582,5055.033300000001,2260.1285,-0.0036999999999238016,603.0,53.0,0.026563965770671515,Stable,0.9192073170731707,0,0,0,0,0,0,0,202606
8,SA311285465,Palm Games,SA,Online,Digital Services,Direct API,Omar Al-Anazi,Live - never transacted,2020-12-20,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
9,SA829535554,Royal Supply,SA,B2B,Distribution & Wholesale,Direct API,Turki Al-Shammari,Active,2020-12-15,2026-06-28,1307896.1892,1069285.3069,4455974.624600001,26400.5332,9857.129500000001,0.017000000000279902,535.0,26.0,0.22314987474368703,Growing,0.9536541889483066,0,0,0,0,0,0,0,202606
10,SA420885285,Prime Mart,SA,SME,Retail,Direct API,Reem Al-Ghamdi,Active,2021-01-15,2026-06-29,37260.1844,35756.3093,142339.5749,3347.5602000000003,1496.3500999999997,0.0467000000000435,1078.0,79.0,0.04205901362420526,Stable,0.9317199654278306,0,0,0,0,0,0,0,202606
11,SA765577175,Crescent Kitchen,SA,Enterprise,Food & Beverage,Payment Links,Turki Al-Shammari,Active,2020-10-11,2026-06-30,729588.4296,778944.0419999999,2964415.8132999996,43128.87820000001,3703.3519,-0.009100000000671774,32611.0,2000.0,-0.0633622054201422,Stable,0.9422149027765739,0,0,0,0,0,0,0,202606
12,OM267217098,Palm Utilities,OM,Enterprise,Telecom & Utilities,Payment Links,Salim Al-Harthy,Active,2020-10-11,2026-06-30,2306236.1509999996,2304112.4057,9230006.3199,122859.7919,-5551.271999999999,-0.3062999999965541,60695.0,6606.0,0.0009217194850154884,Stable,0.9018439547703601,1,0,0,0,0,0,1,202606
13,SA719959686,Metro Roastery,SA,SME,Food & Beverage,Payment Links,Omar Al-Anazi,Live - never transacted,2020-10-10,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
14,AE288662037,Coral Cargo,AE,B2B,Logistics,Payment Links,Yousef Al-Marri,Live - never transacted,2020-10-17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Live - never transacted,,0,0,0,0,0,1,1,202606
15,AE987618927,Oasis Streaming,AE,Online,Digital Services,Hosted Checkout,Yousef Al-Marri,Active,2020-10-31,2026-06-30,429215.0604,403154.40839999996,1566939.9958000001,51398.6927,17731.3942,-0.0284000000006016,38037.0,4672.0,0.06464186291160015,Stable,0.8906085368423518,0,0,0,0,0,0,0,202606
16,SA159383546,Cedar Grill,SA,SME,Food & Beverage,POS Terminal,Reem Al-Ghamdi,Active,2020-11-19,2026-06-30,32636.125399999997,28971.823600000003,117541.0688,3766.9710000000005,1550.0472,0.024900000000115996,4317.0,452.0,0.1264781206247574,Stable,0.9052212203816313,0,0,0,0,0,0,0,202606
17,AE338852002,Palm Stores,AE,SME,Retail,Hosted Checkout,Layla Haddad,Active,2020-10-31,2026-06-30,6616.0707,10003.907799999999,39849.4112,1169.6163999999999,427.9388,-0.007300000000014698,162.0,14.0,-0.3386513718169213,Declining,0.9204545454545454,0,0,0,1,0,0,1,202606
