merchant_key,gmv,revenue,expected_revenue,cogs,gp,failed_cost,leakage,gp_if_billed_correctly,root_cause,mid,merchant_name,segment,country_code,account_manager
637,26992937.1946,406153.3101,406153.2659,435106.38300000003,-28953.0729,1768.3866,-0.044200000003911555,-28953.117100000003,Contract priced below processing cost,SA597658531,Oasis Connect,Enterprise,SA,Turki Al-Shammari
858,13663901.569699999,153082.4571,153082.4277,166174.7636,-13092.3065,368.2903,-0.029399999999441206,-13092.3359,Contract priced below processing cost,SA331993666,Crescent Mart 858,Enterprise,SA,Reem Al-Ghamdi
455,5974815.4203,98346.1044,98346.1207,110828.31,-12482.2056,1043.4723,0.01630000000295695,-12482.189299999996,Contract priced below processing cost,SA734980407,Green Bakery,Enterprise,SA,Omar Al-Anazi
26,9174581.9558,152753.9156,152753.99109999998,161527.4113,-8773.4957,61.71,0.0754999999771826,-8773.420200000022,Contract priced below processing cost,AE642488904,Swift Journeys,Enterprise,AE,Yousef Al-Marri
12,9230006.3199,122859.7919,122859.4856,128411.06390000001,-5551.272,566.7747,-0.3062999999965541,-5551.5782999999965,Contract priced below processing cost,OM267217098,Palm Utilities,Enterprise,OM,Salim Al-Harthy
228,3836815.7959000003,58884.175500000005,58884.1898,60143.9001,-1259.7246,329.705,0.014299999995273538,-1259.7103000000047,Contract priced below processing cost,AE123781768,Sand Bakery,Enterprise,AE,Layla Haddad
582,2811490.7664,39421.6907,64998.993,40234.966700000004,-813.2760000000001,122.5411,25577.302300000003,24764.0263,Billing leakage (under-billed vs contract),OM817062602,Silver Basket,Online,OM,Salim Al-Harthy
760,5693163.5628,95187.2311,95187.501,95844.0892,-656.8581000000004,650.1056,0.2698999999993248,-656.588200000001,Contract priced below processing cost,OM371938797,Cedar Bakery 760,Enterprise,OM,Salim Al-Harthy
959,109325.38949999999,1693.7412,2822.918,1895.6323,-201.8911,22.6958,1129.1768000000002,927.2857000000001,Billing leakage (under-billed vs contract),SA247806531,Green Digital,Online,SA,Reem Al-Ghamdi
200,3417740.7759000002,47479.3937,47479.3696,47649.2807,-169.8869999999996,213.9665,-0.02410000000236323,-169.91110000000197,Contract priced below processing cost,AE520556972,Palm Telecom,B2B,AE,Layla Haddad
827,200576.3335,3300.7785,5501.3662,3450.0420000000004,-149.2635,29.8162,2200.5877000000005,2051.3242000000005,Billing leakage (under-billed vs contract),SA580727871,Amber Games,Online,SA,Omar Al-Anazi
1097,305814.958,4031.037,4031.0367,4036.7962,-5.759199999999962,16.8233,-0.00029999999969732016,-5.759499999999659,Contract priced below processing cost,EG612590977,Cedar Basket 1098,Enterprise,EG,Nadia Fouad
