vertical,transactions_fy26,gmv_fy26_musd,aov_usd,success_rate_pct,refund_rate_pct,active_merchants,volume_rank
Food & Beverage,22457217,234.3,10.43,90.38,0.53,161,1
Retail,5540800,184.6,33.31,92.32,3.19,128,2
Digital Services,4605515,37.6,8.17,88.14,2.12,47,3
Telecom & Utilities,4365145,143.4,32.84,92.05,0.87,23,4
E-commerce,4214149,184.8,43.86,90.53,4.78,129,5
Healthcare,2070461,116.8,56.43,93.62,1.09,50,6
Professional Services,537735,44.5,82.82,92.93,0.83,90,7
Education,526199,88.2,167.58,93.15,1.32,88,8
Travel & Hospitality,167552,45.4,270.71,89.68,6.47,46,9
Unclassified,125311,3.5,27.88,92.25,0.97,7,10
Logistics,67491,62.1,920.07,94.56,0.65,21,11
Distribution & Wholesale,50056,91.3,1823.29,93.04,0.45,43,12
