mid,merchant_name,country_code,segment,account_manager,gmv_prior_3m_kusd,gmv_last_3m_kusd,change_pct,gmv_change_kusd
SA710370541,Prime Learning,SA,Enterprise,Turki Al-Shammari,6824.6,3613.8,-47.0,-3210.8
AE671906697,Royal Cafe,AE,Enterprise,Layla Haddad,6125.3,3642.0,-40.5,-2483.3
AE932795909,Oasis Pharmacy,AE,Enterprise,Layla Haddad,5787.6,3673.3,-36.5,-2114.2
SA320986752,Urban EdTech,SA,Enterprise,Turki Al-Shammari,6049.5,4133.9,-31.7,-1915.5
SA687319923,Swift EdTech,SA,Enterprise,Turki Al-Shammari,1848.5,1296.9,-29.8,-551.6
AE339334302,Silver Supply,AE,B2B,Yousef Al-Marri,1391.0,1007.4,-27.6,-383.6
AE163417336,Nova Supply,AE,B2B,Yousef Al-Marri,1259.0,918.0,-27.1,-341.0
EG482640702,Golden Online,EG,Online,Mai Ragab,422.2,140.1,-66.8,-282.1
SA771478693,Royal Power,SA,Enterprise,Omar Al-Anazi,833.3,553.1,-33.6,-280.2
AE786280232,Blue Freight,AE,B2B,Yousef Al-Marri,407.6,219.7,-46.1,-188.0
SA848487072,Zenith Journeys,SA,Enterprise,Turki Al-Shammari,638.4,465.7,-27.1,-172.7
EG719592790,Nova Schools,EG,SME,Nadia Fouad,146.9,55.8,-62.0,-91.1
AE711049967,Green Trading,AE,B2B,Layla Haddad,215.5,147.4,-31.6,-68.1
AE918231431,Swift Schools,AE,SME,Layla Haddad,226.1,159.5,-29.4,-66.6
EG386547356,Golden Supply,EG,B2B,Nadia Fouad,148.1,103.1,-30.4,-45.0
OM188757830,Green Learning,OM,Online,Salim Al-Harthy,106.4,67.7,-36.3,-38.6
EG730442129,Amber Distribution,EG,B2B,Hany Soliman,97.0,72.2,-25.6,-24.9
EG714930904,Sand Supply,EG,B2B,Nadia Fouad,73.2,49.4,-32.6,-23.8
EG135986426,Horizon Supply,EG,B2B,Karim Ezzat,64.1,43.4,-32.4,-20.8
SA205739809,Amber Cafe,SA,SME,Turki Al-Shammari,60.2,40.2,-33.2,-20.0
EG474829702,Bright Institute,EG,Online,Hany Soliman,47.9,33.2,-30.6,-14.7
OM528658283,Prime Partners,OM,SME,Salim Al-Harthy,19.7,6.7,-65.9,-13.0
AE242638729,Palm Institute,AE,SME,Yousef Al-Marri,37.7,25.2,-33.1,-12.5
EG231422873,Metro EdTech,EG,Online,Karim Ezzat,38.6,26.4,-31.4,-12.1
AE211109637,Cedar Academy,AE,SME,Yousef Al-Marri,35.3,24.3,-31.1,-11.0
SA576895050,Urban Mart,SA,SME,Reem Al-Ghamdi,24.4,15.5,-36.2,-8.8
AE934539772,Bright Services,AE,SME,Layla Haddad,29.5,22.1,-25.0,-7.4
AE202986349,Falcon Outlet,AE,SME,Yousef Al-Marri,26.6,19.9,-25.1,-6.7
EG468167807,Sand Learning,EG,SME,Karim Ezzat,16.5,10.2,-38.1,-6.3
SA868774915,Oasis EdTech,SA,SME,Turki Al-Shammari,12.8,7.1,-44.8,-5.7
EG559913630,Swift Institute,EG,Online,Mai Ragab,21.2,15.9,-25.1,-5.3
AE841408383,Golden Grill 600,AE,Online,Yousef Al-Marri,20.1,15.0,-25.7,-5.2
AE545364971,Prime Market 774,AE,SME,Layla Haddad,19.8,14.5,-26.4,-5.2
EG497915590,Sand Institute,EG,Online,Mai Ragab,13.2,8.4,-36.3,-4.8
AE628221217,Amber Legal,AE,SME,Layla Haddad,15.8,11.1,-30.1,-4.8
EG544329487,Bright Academy,EG,Online,Mai Ragab,12.3,7.7,-37.2,-4.6
AE808885338,Blue Mart,AE,SME,Layla Haddad,14.0,10.0,-28.8,-4.0
AE609791679,Golden Mart,AE,SME,Yousef Al-Marri,12.3,8.6,-30.1,-3.7
AE338852002,Palm Stores,AE,SME,Layla Haddad,10.0,6.6,-33.9,-3.4
EG800117892,Oasis Schools,EG,Online,Hany Soliman,9.6,6.8,-29.6,-2.9
EG629727686,Prime Cafe,EG,SME,Hany Soliman,9.2,6.8,-26.7,-2.5
