segment,payment_method,gmv_fy26_musd,revenue_fy26_kusd,take_rate_pct,gp_margin_pct,gp_bps_of_gmv
B2B,BANKTR,102.5,507.1,0.495,42.0,20.8
B2B,CARD,79.1,1286.5,1.626,15.1,24.5
B2B,LDEBIT,14.9,118.3,0.796,42.9,34.2
B2B,WALLET,8.7,113.4,1.301,37.5,48.9
Enterprise,CARD,481.5,9213.9,1.913,15.4,29.5
Enterprise,LDEBIT,139.1,1259.7,0.906,33.5,30.4
Enterprise,TOKEN,99.8,1891.1,1.895,17.0,32.2
Enterprise,WALLET,53.4,835.2,1.565,26.9,42.2
Enterprise,BNPL,9.5,275.4,2.886,-21.9,-63.2
Online,CARD,111.3,2992.2,2.69,38.4,103.2
Online,TOKEN,31.8,870.7,2.738,38.1,104.3
Online,LDEBIT,20.2,270.3,1.337,49.5,66.2
Online,WALLET,7.8,178.4,2.283,48.2,110.0
Online,BNPL,7.5,335.9,4.481,22.4,100.2
SME,CARD,40.8,1162.4,2.85,42.1,119.9
SME,LDEBIT,16.8,236.9,1.408,54.0,76.1
SME,TOKEN,7.8,224.7,2.865,40.9,117.1
SME,WALLET,3.2,74.0,2.303,51.8,119.3
SME,BNPL,0.7,32.0,4.794,27.2,130.4
