payment_method,gateway,gmv_fy26_musd,revenue_kusd,cogs_kusd,failed_attempt_cost_kusd,gp_kusd,gp_margin_pct
CARD,GW-NIMBUS,269.9,5431.1,4059.1,9.7,1372.0,25.3
CARD,GW-ORION,197.1,3889.4,2868.1,7.6,1021.3,26.3
LDEBIT,GW-NIMBUS,138.4,1295.3,781.6,3.4,513.7,39.7
CARD,GW-ATLAS,183.5,3968.8,3515.3,29.1,453.5,11.4
CARD,GW-NILE,62.3,1365.8,958.7,3.2,407.1,29.8
WALLET,GW-NILE,73.1,1201.1,809.2,7.7,391.9,32.6
TOKEN,GW-ORION,53.0,1073.3,783.8,0.9,289.5,27.0
TOKEN,GW-NIMBUS,41.1,896.6,649.5,0.9,247.0,27.6
LDEBIT,GW-NILE,52.6,590.0,368.4,2.2,221.6,37.6
BANKTR,GW-NIMBUS,77.0,349.4,201.9,0.2,147.5,42.2
TOKEN,GW-NILE,13.2,333.4,223.5,0.5,109.9,33.0
TOKEN,GW-ATLAS,32.2,683.2,584.9,2.0,98.3,14.4
BANKTR,GW-NILE,25.4,157.7,92.2,0.1,65.6,41.6
BNPL,GW-NILE,1.3,58.8,39.6,0.2,19.2,32.7
BNPL,GW-ATLAS,16.4,584.5,580.3,3.1,4.2,0.7
