year_month,gateway,payment_method,success_txn,failed_txn,success_rate_pct,vs_24m_avg_pp
2025-10,GW-ORION,CARD,455652,101743,81.75,-9.46
2025-10,GW-ORION,TOKEN,110064,16389,87.04,-9.29
2026-06,GW-NILE,WALLET,534076,117770,81.93,-5.51
2026-05,GW-NILE,WALLET,518545,103354,83.38,-4.06
2026-04,GW-NILE,WALLET,510890,94629,84.37,-3.07
2026-03,GW-NILE,WALLET,552571,90583,85.92,-1.52
2024-07,GW-NILE,CARD,106965,12725,89.37,-1.51
2024-08,GW-NILE,CARD,116940,13504,89.65,-1.23
2026-04,GW-NILE,BNPL,5466,1502,78.44,-0.81
2025-12,GW-NILE,BNPL,6355,1717,78.73,-0.52
2026-02,GW-NILE,WALLET,519892,78232,86.92,-0.52
2024-12,GW-NILE,BANKTR,25395,975,96.3,-0.51
2025-04,GW-NILE,BNPL,6037,1627,78.77,-0.48
2026-01,GW-ATLAS,BNPL,39835,11866,77.05,-0.46
2025-07,GW-NIMBUS,BANKTR,31680,867,97.34,-0.45
2026-06,GW-NILE,BNPL,5291,1422,78.82,-0.44
2026-04,GW-ATLAS,BNPL,45298,13468,77.08,-0.43
2025-09,GW-NILE,BNPL,6344,1699,78.88,-0.38
2026-03,GW-NILE,TOKEN,93759,4942,94.99,-0.37
2026-01,GW-NILE,BNPL,5858,1567,78.9,-0.36
2026-02,GW-NILE,BNPL,6287,1681,78.9,-0.35
2025-11,GW-NILE,BNPL,6848,1830,78.91,-0.34
2026-05,GW-NIMBUS,LDEBIT,300349,17636,94.45,-0.34
2024-08,GW-NILE,BANKTR,22949,830,96.51,-0.31
2024-07,GW-ATLAS,BNPL,22064,6515,77.2,-0.3
