vertical,gmv_musd,refunds_musd,refund_rate_pct,refund_count,refund_cost_kusd
Travel & Hospitality,81.7,5.05,6.17,17870,2.7
E-commerce,314.5,14.81,4.71,318138,47.7
Retail,311.3,9.74,3.13,278731,41.8
Digital Services,65.5,1.37,2.09,159166,23.9
Education,181.7,2.32,1.28,12927,1.9
Healthcare,231.8,2.43,1.05,40408,6.1
Unclassified,5.8,0.05,0.91,1875,0.3
Telecom & Utilities,234.3,1.98,0.84,58873,8.8
Professional Services,76.4,0.63,0.82,7456,1.1
Logistics,103.9,0.67,0.64,694,0.1
Food & Beverage,425.8,2.23,0.52,202799,30.4
Distribution & Wholesale,159.1,0.69,0.43,362,0.1
